When,X,Y,Type
1112758169560001,1330.0,542.0,MOVE
1112758177861171,1325.0,536.0,MOVE
1112758186159323,1318.0,531.0,MOVE
1112758194528110,1311.0,526.0,MOVE
1112758202962702,1302.0,522.0,MOVE
1112758211131054,1294.0,520.0,MOVE
1112758219609114,1285.0,518.0,MOVE
1112758227980919,1277.0,518.0,MOVE
1112758236535653,1267.0,517.0,MOVE
1112758245137476,1253.0,518.0,MOVE
1112758255328898,1239.0,519.0,MOVE
1112758255490092,1227.0,522.0,MOVE
1112758263599882,1212.0,527.0,MOVE
1112758272059227,1193.0,533.0,MOVE
1112758280382735,1178.0,538.0,MOVE
1112758288877700,1169.0,542.0,MOVE
1112758297411302,1155.0,549.0,MOVE
1112758305961809,1142.0,557.0,MOVE
1112758314916810,1126.0,568.0,MOVE
1112758323474561,1119.0,576.0,MOVE
1112758332840696,1110.0,585.0,MOVE
1112758341495043,1096.0,597.0,MOVE
1112758351047124,1075.0,617.0,MOVE
1112758360975927,1065.0,630.0,MOVE
1112758369722644,1051.0,642.0,MOVE
1112758377993628,1039.0,651.0,MOVE
1112758386726459,1026.0,661.0,MOVE
1112758395150788,1013.0,673.0,MOVE
1112758404163746,1002.0,679.0,MOVE
1112758412242143,990.0,687.0,MOVE
1112758421291324,979.0,694.0,MOVE
1112758421459762,966.0,702.0,MOVE
1112758434186210,948.0,712.0,MOVE
1112758443715954,934.0,720.0,MOVE
1112758453035602,904.0,737.0,MOVE
1112758461977320,888.0,747.0,MOVE
1112758470717999,868.0,761.0,MOVE
1112758479682056,854.0,768.0,MOVE
1112758488554346,840.0,777.0,MOVE
1112758497293818,824.0,786.0,MOVE
1112758506086418,802.0,796.0,MOVE
1112758515104809,768.0,808.0,MOVE
1112758524289223,750.0,816.0,MOVE
1112758533960841,733.0,824.0,MOVE
1112758543321542,712.0,830.0,MOVE
1112758552754690,696.0,834.0,MOVE
1112758561935482,677.0,838.0,MOVE
1112758571069184,660.0,843.0,MOVE
1112758571258753,643.0,847.0,MOVE
1112758579863595,617.0,851.0,MOVE
1112758589115022,601.0,856.0,MOVE
1112758598225783,579.0,856.0,MOVE
1112758607381823,561.0,860.0,MOVE
1112758617044385,542.0,859.0,MOVE
1112758626420179,524.0,860.0,MOVE
1112758636417806,473.0,855.0,MOVE
1112758645613088,464.0,855.0,MOVE
1112758654687625,449.0,853.0,MOVE
1112758663661944,432.0,849.0,MOVE
